資料日期,證券代號,證券名稱,暫停現股賣出後現款買進當沖註記
1150609,6265,方土昶,
1150609,6266,泰詠,＊
1150609,6270,倍微,
1150609,6274,台燿,
1150609,6275,元山,
1150609,6279,胡連,
1150609,6284,佳邦,
1150609,6290,良維,
1150609,6292,迅德,
1150609,6294,智基,
1150609,6411,晶焱,
1150609,6417,韋僑,
1150609,6418,詠昇,＊
1150609,6419,京晨科,
1150609,6423,億而得,
1150609,6425,易發,
1150609,6432,今展科,
1150609,6435,大中,
1150609,6441,廣錠,
1150609,6462,神盾,
1150609,6465,威潤,
1150609,6469,大樹,
1150609,6470,宇智,
1150609,6474,華豫寧,
1150609,6482,弘煜科,
1150609,6485,點序,
1150609,6486,互動,
1150609,6494,九齊,
1150609,6496,科懋,
1150609,6498,久禾光,
1150609,6499,益安,
1150609,6506,雙邦,
1150609,6508,惠光,
1150609,6509,聚和,
1150609,6510,精測,
1150609,6516,勤崴國際,＊
1150609,6517,保勝光學,
1150609,6523,達爾膚,
1150609,6530,創威,
1150609,6532,瑞耘,
1150609,6538,倉和,
1150609,6542,隆中,
1150609,6546,正基,
1150609,6547,高端疫苗,
1150609,6560,欣普羅,
1150609,6561,是方,
1150609,6568,宏觀,
1150609,6569,醫揚,
1150609,6577,勁豐,
1150609,6578,達邦蛋白,
1150609,6584,南俊國際,
1150609,6588,東典光電,
1150609,6593,台灣銘板,
1150609,6596,寬宏藝術,
1150609,6603,富強鑫,
1150609,6609,瀧澤科,
1150609,6612,奈米醫材,
1150609,6613,朋億*,
1150609,6615,慧智,
1150609,6616,特昇-KY,
1150609,6617,共信-KY,
1150609,6620,漢達,
1150609,6624,萬年清,
1150609,6629,泰金-KY,
1150609,6637,醫影,
1150609,6640,均華,
1150609,6642,富致,
1150609,6643,M31,
1150609,6649,台生材,
1150609,6651,全宇昕,
1150609,6664,群翊,
1150609,6667,信紘科,
1150609,6679,鈺太,
1150609,6680,鑫創電子,
1150609,6683,雍智科技,
1150609,6684,安格,
1150609,6690,安碁資訊,
1150609,6692,進能服,
1150609,6693,廣閎科,
1150609,6697,東捷資訊,
1150609,6703,軒郁,
1150609,6708,天擎,
1150609,6712,長聖,
1150609,6716,應廣,
1150609,6720,久昌,
1150609,6725,矽科宏晟,
1150609,6727,亞泰金屬,
1150609,6728,上洋,
1150609,6732,昇佳電子,
1150609,6735,美達科技,
1150609,6739,竹陞科技,＊
1150609,6741,91APP*-KY,
1150609,6751,智聯服務,
1150609,6752,叡揚,
1150609,6761,穩得,
1150609,6763,綠界科技*,
1150609,6785,昱展新藥,
1150609,6788,華景電,
1150609,6791,虎門科技,
1150609,6803,崑鼎,
1150609,6804,明係,
1150609,6811,宏碁資訊,
1150609,6823,濾能,
1150609,6829,千附精密,
1150609,6840,東研信超,
1150609,6841,長佳智能,
1150609,6843,進典,
1150609,6846,綠茵,
1150609,6859,伯特光,
1150609,6865,偉康科技,
1150609,6870,騰雲,
1150609,6874,倍力,
1150609,6877,鏵友益,
1150609,6894,衛司特,
1150609,6895,宏碩系統,
1150609,6899,創為精密,
1150609,6903,巨漢,
1150609,6904,伯鑫,
1150609,6907,雅特力-KY,
1150609,6913,鴻呈,＊
1150609,6922,宸曜,
1150609,6925,意藍,＊
1150609,6953,家碩,
1150609,6967,汎瑋材料,
1150609,6968,萬達寵物,
1150609,6971,惠民實業,
1150609,6982,大井泵浦,
1150609,6996,力領科技,
1150609,7402,邑錡,
1150609,7547,碩網,
1150609,7556,意德士,
1150609,7584,樂意,
1150609,7642,昶瑞機電,
1150609,7703,銳澤,
1150609,7704,明遠精密,＊
1150609,7712,博盛半導體,
1150609,7713,威力德生醫,
1150609,7714,創泓科技,
1150609,7715,裕山,
1150609,7717,萊德光電-KY,
1150609,7718,友鋮,＊
1150609,7723,築間,
1150609,7728,光焱科技,
1150609,7734,印能科技,
1150609,7738,東聯互動,
1150609,7744,崴寶,
1150609,7751,竑騰,
1150609,7753,星亞,
1150609,7757,金色三麥,＊
1150609,7777,能率亞洲,
1150609,7782,光速火箭,
1150609,7792,安葆,
1150609,7805,威聯通,
1150609,7810,捷創科技,
1150609,8027,鈦昇,
1150609,8032,光菱,
1150609,8034,榮群,
1150609,8040,九暘,
1150609,8043,蜜望實,
1150609,8044,網家,
1150609,8048,德勝,
1150609,8049,晶采,
1150609,8050,廣積,
1150609,8054,安國,
1150609,8064,東捷,
1150609,8066,來思達,
1150609,8068,全達,
1150609,8069,元太,
1150609,8071,能率網通,
1150609,8074,鉅橡,
1150609,8076,伍豐,
1150609,8083,瑞穎,
1150609,8086,宏捷科,
1150609,8087,麗升能源,
1150609,8088,品安,
1150609,8089,康全電訊,
1150609,8091,翔名,
1150609,8092,建暐,
1150609,8096,擎亞,
1150609,8097,常珵,
1150609,8099,大世科,
1150609,8107,大億金茂,
1150609,8109,博大,
1150609,8111,立碁,＊
1150609,8147,正淩,
1150609,8155,博智,
1150609,8171,天宇,
1150609,8182,加高,
1150609,8183,精星,
1150609,8227,巨有科技,
1150609,8234,新漢,
1150609,8240,華宏,
1150609,8255,朋程,
1150609,8279,生展,
1150609,8284,三竹,
1150609,8289,泰藝,
1150609,8299,群聯,
1150609,8342,益張,
1150609,8349,恒耀,
1150609,8354,冠好,
1150609,8383,千附,
1150609,8390,金益鼎,
1150609,8401,白紗科,
1150609,8403,盛弘,
1150609,8410,森田,
1150609,8415,大國鋼,
1150609,8421,旭源,
1150609,8423,保綠-KY,
1150609,8424,惠普,＊
1150609,8426,紅木-KY,
1150609,8431,匯鑽科,
1150609,8432,東生華,＊
1150609,8433,弘帆,
1150609,8435,鉅邁,
1150609,8436,大江,
1150609,8437,大地-KY,
1150609,8440,綠電,
1150609,8446,華研,
1150609,8472,夠麻吉,
1150609,8489,三貝德,
1150609,8905,裕國,
1150609,8906,花王,
1150609,8908,欣雄,
1150609,8916,光隆,
1150609,8917,欣泰,
1150609,8923,時報,
1150609,8924,大田,
1150609,8927,北基,
1150609,8928,鉅明,
1150609,8929,富堡,
1150609,8930,青鋼,
1150609,8931,大汽電,
1150609,8932,智通*,
1150609,8936,國統,
1150609,8938,明安,
1150609,8941,關中,
1150609,8942,森鉅,
1150609,9949,琉園,
1150609,9951,皇田,
1150609,9960,邁達康,
1150609,9962,有益,
