"Layer","Category","Decision","Risk","Action","Path","Bytes","Size","FileCount","Reason"
"PythonEnv","venv","CANDIDATE","MEDIUM","OLD_ARCHIVE_ENV_QUARANTINE_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_091358\ARCHIVE\module\supportive_module\others\.venv","514389652","490.56 MB","7275","舊 archive / backup / package 內的 venv，通常可重建；先隔離候選，不直接刪除。"
"PythonEnv","venv","CANDIDATE","MEDIUM","OLD_ARCHIVE_ENV_QUARANTINE_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\_VIA_ActiveETF_SAFE_PANORAMA_RUNS\RUN_20260604_080746\_supportive_bundle\others\.venv","514389652","490.56 MB","7275","舊 archive / backup / package 內的 venv，通常可重建；先隔離候選，不直接刪除。"
"PythonEnv","venv","CANDIDATE","MEDIUM","OLD_ARCHIVE_ENV_QUARANTINE_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_20260602_052456\ARCHIVE\module\supportive_module\others\.venv","514389652","490.56 MB","7275","舊 archive / backup / package 內的 venv，通常可重建；先隔離候選，不直接刪除。"
"PythonEnv","venv","CANDIDATE","MEDIUM","OLD_ARCHIVE_ENV_QUARANTINE_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_055208\ARCHIVE\module\supportive_module\others\.venv","514389652","490.56 MB","7275","舊 archive / backup / package 內的 venv，通常可重建；先隔離候選，不直接刪除。"
"PythonEnv","venv","CANDIDATE","MEDIUM","OLD_ARCHIVE_ENV_QUARANTINE_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\Documents\VeritasIntelligenceAnalytics\VIA_VRN_FINAL_ARCHIVE_TURBO_20260602_061318\ARCHIVE\module\supportive_module\others\.venv","514389652","490.56 MB","7275","舊 archive / backup / package 內的 venv，通常可重建；先隔離候選，不直接刪除。"
"LargeFile",".html","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF\_relation_trace_runs\RUN_20260609_021200\VDF_NOHANG_TRACE_V5_20260609_021200.html","419148706","399.73 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".json","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF\_relation_trace_runs\RUN_20260609_021200\VDF_NOHANG_TRACE_V5_FINDINGS_20260609_021200.json","380234599","362.62 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF\_relation_trace_runs\RUN_20260609_021200\VDF_NOHANG_TRACE_V5_FINDINGS_20260609_021200.csv","370460702","353.30 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".msi","CANDIDATE","LOW","INSTALLER_ARCHIVE_REVIEW_CANDIDATE","C:\Users\tonyk\Downloads\LibreOffice_25.8.4_Win_x86-64.msi","365154304","348.24 MB","1","Downloads installer/archive 大檔；可隔離到 review，不直接刪除。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VDF\_relation_trace_runs\RUN_20260609_021200\VDF_NOHANG_TRACE_V5_SCRIPTS_20260609_021200.csv","355329943","338.87 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
"LargeFile",".csv","CANDIDATE","MEDIUM","ONEDRIVE_ONLINE_ONLY_REVIEW_CANDIDATE","C:\Users\tonyk\OneDrive\桌面\tw_stock\TaiwanInstitutionalTrading\TaiwanInstitutionalTrading_20200102_20240911.csv","352251958","335.93 MB","1","OneDrive 大檔；優先做 online-only 候選，保留雲端，不刪檔。"
