"Family","FamilyRank","Action","Reason","Path","Name","Bytes","Size","FileCount","SizeScanCapped","LastWriteTime","AgeHours","Protected","Status","Message"
"via_step22_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_unified_runs\VIA_STEP22_20260417_213655","VIA_STEP22_20260417_213655","1053612","1.00 MB","22","False","2026/4/23 上午 02:13:23","1314.76","False","PENDING",""
"via_step21_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_unified_runs\VIA_STEP21_20260417_212201","VIA_STEP21_20260417_212201","1018161","994.30 KB","19","False","2026/4/23 上午 02:13:22","1314.76","False","PENDING",""
"via_activeetf_exe_TS","2","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\VIA_ActiveETF_EXE_20260603_152037","VIA_ActiveETF_EXE_20260603_152037","883877","863.16 KB","2","False","2026/6/3 下午 03:20:44","317.64","False","PENDING",""
"via_activeetf_exe_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_packages\VIA_ActiveETF_EXE_20260603_152058","VIA_ActiveETF_EXE_20260603_152058","883877","863.16 KB","2","False","2026/6/3 下午 03:21:02","317.63","False","PENDING",""
"_veritas_insightflow_patch_backup","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_veritas_insightflow_patch_backup","_veritas_insightflow_patch_backup","878149","857.57 KB","17","False","2026/5/3 下午 05:17:28","1059.69","False","PENDING",""
"repair_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_panorama_runs\repair_20260416_005655","repair_20260416_005655","757352","739.60 KB","9","False","2026/4/16 上午 12:56:59","1484.03","False","PENDING",""
"via_step3b1_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_unified_runs\VIA_STEP3B1_20260417_223608","VIA_STEP3B1_20260417_223608","708047","691.45 KB","11","False","2026/4/23 上午 02:13:29","1314.76","False","PENDING",""
"_panorama_backups","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_panorama_backups","_panorama_backups","663540","647.99 KB","9","False","2026/4/1 上午 03:14:51","1841.73","False","PENDING",""
"via_supportive_self_gov_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_supportive_self_governance_runs\VIA_SUPPORTIVE_SELF_GOV_20260425_150447","VIA_SUPPORTIVE_SELF_GOV_20260425_150447","647343","632.17 KB","12","False","2026/4/25 下午 03:04:51","1253.9","False","PENDING",""
"via_support_100_TS","2","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_supportive_coverage_runs\VIA_SUPPORT_100_20260424_182418","VIA_SUPPORT_100_20260424_182418","642182","627.13 KB","12","False","2026/4/24 下午 06:24:22","1274.57","False","PENDING",""
"via_support_100_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_supportive_coverage_runs\VIA_SUPPORT_100_20260425_134437","VIA_SUPPORT_100_20260425_134437","642182","627.13 KB","12","False","2026/4/25 下午 01:44:45","1255.24","False","PENDING",""
"via_support_100_TS","3","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_supportive_coverage_runs\VIA_SUPPORT_100_20260424_140138","VIA_SUPPORT_100_20260424_140138","638359","623.40 KB","12","False","2026/4/24 下午 02:01:41","1278.95","False","PENDING",""
"via_support_final_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_supportive_coverage_runs\VIA_SUPPORT_FINAL_20260424_051837","VIA_SUPPORT_FINAL_20260424_051837","628789","614.05 KB","12","False","2026/4/24 上午 05:18:40","1287.67","False","PENDING",""
"via_support_final_TS","2","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_supportive_coverage_runs\VIA_SUPPORT_FINAL_20260424_051628","VIA_SUPPORT_FINAL_20260424_051628","625043","610.39 KB","12","False","2026/4/24 上午 05:16:36","1287.7","False","PENDING",""
"via_trading_multipage_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_trading_grade_runs\VIA_TRADING_MULTIPAGE_20260426_024544","VIA_TRADING_MULTIPAGE_20260426_024544","619437","604.92 KB","8","False","2026/4/26 上午 02:45:46","1242.22","False","PENDING",""
"via_trading_grade_fix_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_trading_grade_runs\VIA_TRADING_GRADE_FIX_20260426_023701","VIA_TRADING_GRADE_FIX_20260426_023701","602577","588.45 KB","8","False","2026/4/26 上午 02:37:03","1242.36","False","PENDING",""
"via_final_xbatch_fix_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_governance_runs\VIA_FINAL_XBATCH_FIX_20260506_003534","VIA_FINAL_XBATCH_FIX_20260506_003534","584029","570.34 KB","6","False","2026/5/6 上午 12:35:41","1004.39","False","PENDING",""
"via_panorama_target_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_panorama_target_health_runs\VIA_PANORAMA_TARGET_20260425_142103","VIA_PANORAMA_TARGET_20260425_142103","566235","552.96 KB","13","False","2026/4/25 下午 02:21:09","1254.63","False","PENDING",""
"via_trading_grade_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_trading_grade_runs\VIA_TRADING_GRADE_20260426_022620","VIA_TRADING_GRADE_20260426_022620","565733","552.47 KB","8","False","2026/4/26 上午 02:27:35","1242.52","False","PENDING",""
"via_incremental_update_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_incremental_update_runs\VIA_INCREMENTAL_UPDATE_20260430_145417","VIA_INCREMENTAL_UPDATE_20260430_145417","545706","532.92 KB","7","False","2026/4/30 下午 02:54:29","1134.07","False","PENDING",""
"via_final_trading_grade_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_trading_grade_runs\VIA_FINAL_TRADING_GRADE_20260426_031957","VIA_FINAL_TRADING_GRADE_20260426_031957","543882","531.13 KB","8","False","2026/4/26 上午 03:22:55","1241.6","False","PENDING",""
"via_panorama_target_TS","2","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_panorama_target_health_runs\VIA_PANORAMA_TARGET_20260425_140939","VIA_PANORAMA_TARGET_20260425_140939","539899","527.25 KB","13","False","2026/4/25 下午 02:09:46","1254.82","False","PENDING",""
"via_step4b_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_unified_runs\VIA_STEP4B_20260418_002756","VIA_STEP4B_20260418_002756","533292","520.79 KB","7","False","2026/4/23 上午 02:13:32","1314.76","False","PENDING",""
"vdf_autopatch_vX_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_module_check_runs\VDF_AUTOPATCH_V4_20260421_212931","VDF_AUTOPATCH_V4_20260421_212931","516278","504.18 KB","22","False","2026/4/23 上午 02:13:17","1314.76","False","PENDING",""
"run_rescue_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\Desktop\VeritasIntelligenceAnalytics\_via_super_aio_runs\RUN_RESCUE_20260604_231339","RUN_RESCUE_20260604_231339","512792","500.77 KB","6","False","2026/6/4 下午 11:17:05","285.7","False","PENDING",""
"via_step8b1_raw_sleep_gate_TS","1","KEEP_LATEST","KEEP_LATEST_3","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\_via_unified_runs\VIA_STEP8B1_RAW_SLEEP_GATE_20260427_113907","VIA_STEP8B1_RAW_SLEEP_GATE_20260427_113907","504185","492.37 KB","6","False","2026/4/27 上午 11:39:10","1209.33","False","PENDING",""
